name,ghs
 A (AVDA CORBO),6f1
 DANIEL FRANCO,6dpv
 FRANCISCO ROMANO,6dpv
 LA BALSA,6dpv
 LEANDRO GOMEZ,6dpv
" MAGÑONE, DR.",6f25
(CMNO.A TARAR.),69y
(ENTRE APARICIO SARAVIA,6cbs
(ENTRE SARANDI Y CL.31),6cbs
(KM. 551),6d
(NACE EN GRAL. ARTIGAS),6cbs
(PARAL. A BERTECH),6cb1
(PARAL. A L. OLIVERA),6cbcm
(PARAL. VIA FERREA),6f1
(PASAJE 4 BSM),6dxg
(SOBRE AVDA. V. MAGRI),6cbs
. FCA. SARRACINI,6dp9
0684,6cbc
0685,6cbc
0692,6cbcm
0836,6cbcm
0886,6cbc
0887,6cbc
0889,6cbc
1,69y 69z 69zf 69zg 69zh 69zk 69zs 6cb 6cb1 6cb1s 6cb1y 6cb4 6cb42 6cb4m 6cb4p 6cb4w 6cb6 6cb61 6cb65 6cb9 6cbc 6cbcm 6cbd 6cc 6cc7 6d 6dn 6dne 6dp 6dqv 6f 6f0 6f1 6f1r 6f2 6f25
1  ( BARRIO SARANDI),6cbcm
1 ( BARRIO BIARRITZ ),6cbc
"1 (""LA AMARILLA"")",6dqv3
1 (2A. PARAL. A TUYUTI,6cb1
1 (B  CITRAMA),6cb4 6cb4w
1 (B  EL BOSQUE),6cb4q
1 (B  LA ROSADA),6cb47
1 (B.CHARRUA Y B.VISTA,6dpv
1 (BAL. LAS VEGAS SUR),6cb6k
1 (BARRIO ARTIGAS),6f
1 (BARRIO FAHID BITTAR,6f
1 (BARRIO JARDIN),6cb6 6cb65
1 (BARRIO LA TABLADA),6dqv3
1 (BARRIO MACIO),6dqv 6dqv3
1 (BARRIO OMAR ROJAS),6f
1 (BDIER GRAL MANUEL ORIBE),69z 69zf
1 (BO. AGUILAS BLANCAS),6f25
1 (BO. SAN FRANCISCO),6cb9
1 (BO.LA SONRISA),6cbc
1 (BO.RAQUEL PACHECO),6f
1 (COSTANERA LAS CAÑAS,6dn 6dne
1 (CRUZA DIAGON. NORTE,6cb6
1 (CUCHILLA ALTA),6cbd
1 (DE C.26 A RAMBLA),6cb65
1 (DE LA IGLESIA),6cb4 6cb47
1 (EL CORTIJO),6cbc
1 (ESTADIO),6cc7
1 (FRAC.LOS CIRUELOS),6cbc
1 (FRACC. PAINES),6f82
1 (INVE),6cc7
1 (KM 110 A 120),69zk
1 (KM 148 AL 155),69zh
1 (KM. 102.500),69zk
1 (KM. 120 A 118),69zh 69zk
1 (KM. 127 AL 134),69y 69z 69zh
1 (KM. 36),69zf
1 (KM. 41),69zf
1 (KM. 47),69zf
1 (KM. 49.500 AL 50),69z 69zf
1 (KM. 53),69z
1 (KM. 56),69z
1 (KM. 56.500 AL 57),69z
1 (KM. 59 AL 60),69z
1 (KM. 67),69z
1 (KM. 70 AL 71),69z
1 (KM. 77 AL 81),69z
1 (KM. 83 A 85) DERECHA,69z 69zs
1 (KM. 83 A 85) IZQUIERDA,69z 69zs
1 (KM. 92 AL 94.500),69zk
1 (KM. 96 AL 98),69zk
1 (LA ARBOLADA VILLAGE),6cbcm
1 (LAS CAÑAS),6dne
1 (LOMAS),6cb45 6cb4h
1 (LOS OLIVOS),6cbc
1 (LOS PANORAMAS),6cb4
